#  GBr_GRr          G           Gapp
     3.29015      12.0705      17.7321 
     2.48272      9.52051      15.1821 
     1.03374      5.67952      11.3411 
     3.14199      11.9012      17.5628 
     1.80354      7.77608      13.4377 
     2.88811      10.9965      16.6581 
    0.065362      1.12764      6.78923 
     3.33388      12.4308      18.0924 
     2.85552      10.5159      16.1775 
     2.81919      13.0815      18.7431 
     3.28383      13.1898      18.8514 
     1.36412      6.52315      12.1847 
     2.87946      10.6641      16.3257 
     1.23793      6.35771      12.0193 
     1.19804      6.24613      11.9077 
     2.80162      10.3762      16.0378 
     2.40165       9.4502      15.1118 
     2.20924      8.86229      14.5239 
     1.79229      7.93555      13.5971 
     2.91391      11.1912      16.8528 
     3.10123      12.3655      18.0271 
     3.18047      11.9976      17.6592 
     3.19738      10.9711      16.6326 
     2.42758       9.3765      15.0381 
     3.16485      11.9177      17.5793 
     2.99502      11.9223      17.5839 
    0.541821      3.09889      8.76048 
     1.00937      5.50112      11.1627 
     3.41136      11.8927      17.5543 
    0.934039      5.24868      10.9103 
     2.58054      9.06351      14.7251 
     1.72994      7.79061      13.4522 
     1.28656      6.63312      12.2947 
     2.73501      10.1708      15.8324 
      2.6479      9.98296      15.6446 
     2.33046      9.15854      14.8201 
     3.02269      10.9027      16.5643 
      2.7166      9.32918      14.9908 
     2.86231      13.4282      19.0898 
     3.21875      12.9317      18.5933 
     3.42518      13.1863      18.8479 
     1.68339      6.95863      12.6202 
   0.0236535     0.622245      6.28383 
     3.00513      13.9156      19.5772 
     2.87712      11.4142      17.0758 
     2.45068      11.2306      16.8922 
     2.95226      12.2494       17.911 
     3.05477      12.1389      17.8005 
     2.82233      11.1044       16.766 
      2.7866      14.0921      19.7537 
     2.99413      11.1862      16.8478 
     3.12921      13.6714       19.333 
     2.85797      11.1836      16.8452 
     2.72863      10.0636      15.7252 
    0.647556      3.67373      9.33532 
     2.97146      11.4429      17.1045 
     2.48946      9.34955      15.0111 
     0.65146      3.70673      9.36832 
     1.34974      11.6092      17.2708 
    0.107045      1.13686      6.79845 
     1.71559      7.61911      13.2807 
     2.99779      11.5383      17.1999 
     2.90945      11.5404       17.202 
     3.01339      10.4042      16.0658 
     3.13827      11.7882      17.4498 
      1.0413      5.75671      11.4183 
     2.87565      10.5682      16.2298 
     2.71431      9.34074      15.0023 
     2.20472      8.81414      14.4757 
     3.74551      12.8039      18.4655 
     2.53345      9.79777      15.4594 
     3.13662      11.3811      17.0427 
      1.4439      7.07446      12.7361 
     2.52984      11.1361      16.7977 
     1.89398      8.17723      13.8388 
      3.0276      10.4102      16.0718 
     3.20112      11.5672      17.2288 
     2.59345      9.86362      15.5252 
      2.2833      9.11411      14.7757 
     3.09589      11.5291      17.1907 
     2.76826      10.6005      16.2621 
     3.19932      11.3687      17.0303 
    0.852727      4.73724      10.3988 
     2.79907      12.7861      18.4477 
     1.07989      5.80307      11.4647 
     1.63892      11.1638      16.8254 
     2.70135      12.0587      17.7203 
     2.68168      10.6706      16.3322 
     2.95458      10.7143      16.3759 
     2.95295      11.0209      16.6825 
     2.82865      12.7716      18.4332 
     2.91295      10.4916      16.1532 
     2.91437      10.9769      16.6385 
     2.43091      9.30381      14.9654 
    0.242476      2.27905      7.94064 
     3.49649      13.1343      18.7959 
     2.85491      10.7695      16.4311 
     3.18569      14.3046      19.9662 
      2.5903      9.33457      14.9962 
     3.19279      12.0224       17.684 
     3.15462      11.2921      16.9537 
     2.96057      11.2406      16.9022 
    0.140965      1.84958      7.51117 
     3.13342      12.1623      17.8239 
     2.96816      10.8312      16.4927 
     2.92854      11.0459      16.7075 
     2.97986      12.9654       18.627 
     3.00049      10.9386      16.6002 
    0.358742      2.57008      8.23167 
     1.85645      8.06164      13.7232 
    0.895099      5.08629      10.7479 
     2.72055      10.1007      15.7623 
     2.58441      9.71893      15.3805 
     0.30456      2.42635      8.08794 
