# WOCS    Vmag     BmV     VmR     VmI    Vmag1   BmV1    Vmag2   BmV2    Vmag3   BmV3    Jmag    JmKs    A74  S72     _RA        _DE   
055006  15.957   0.595   0.378   0.739  15.955   0.618  15.933   0.639  15.982   0.618  14.696   0.340   690  999  295.35154  +40.15208
057006  15.984   0.621   0.346   0.744  16.013   0.591  15.877   0.650  15.994   0.615  14.529   0.177   183  999  295.31258  +40.23778
058006  16.015   0.692   0.367   0.804  16.029   0.684  16.023   0.693  16.056   0.687  14.520   0.456  9999  999  295.32092  +40.14642
060006  16.115   0.670   0.387   0.811  16.121   0.664  16.107   0.688  16.149   0.655  14.704   0.396   244  999  295.36542  +40.22872
063006  16.161   0.638   0.357   0.782  16.183   0.643  16.173   0.645  16.191   0.662  14.798   0.280   672   76  295.29308  +40.16039
064006  16.221   0.641   0.376   0.807  16.240   0.655  16.227   0.671  16.262   0.666  14.855   0.144   673  999  295.29629  +40.15897
065006  16.310   0.654   0.378   0.774  16.309   0.669  16.312   0.663  16.344   0.656  15.010   0.395   153  999  295.34333  +40.23519
070006  16.372   0.648   0.377   0.783  16.363   0.672  16.352   0.683  16.402   0.653  15.093   0.455   154  999  295.34721  +40.23428
072006  16.417   0.642   0.360   0.743  16.422   0.645  16.439   0.625  16.464   0.635  15.112   0.259   446  999  295.38042  +40.19483
001007  99.999  99.999  99.999  99.999  11.864   1.557  11.854   1.520  99.999  99.999   9.082   0.937   965   93  295.30500  +40.24908
002007  13.106   1.208   0.599   1.228  13.134   1.194  13.149   1.206  99.999  99.999  11.026   0.689   143   64  295.27183  +40.23450
003007  13.119   1.212   0.610   1.222  13.135   1.193  13.144   1.199  99.999  99.999  11.005   0.664   989   73  295.28858  +40.24544
004007  13.187   1.259   0.641   1.313  13.188   1.250  13.178   1.266  99.999  99.999  10.935   0.757   990  153  295.38879  +40.20969
005007  13.234   1.253   0.668   1.292  13.224   1.253  13.213   1.264  99.999  99.999  10.990   0.727   178  147  295.37258  +40.23889
006007  13.675   0.512   0.271   0.576  13.714   0.504  13.717   0.500  99.999  99.999  12.668   0.216   419   50  295.25346  +40.18778
007007  13.926   1.173   0.571   1.196  13.971   1.147  13.991   1.150  99.999  99.999  11.843   0.699   635   61  295.26758  +40.16558
008007  14.304   1.075   0.601   1.159  14.314   1.095  14.325   1.103  14.339   1.088  12.331   0.634   748  999  295.29146  +40.15156
009007  14.305   0.719   0.404   0.793  14.331   0.717  14.339   0.731  14.356   0.733  12.980   0.418   221   56  295.26025  +40.21436

010007  14.340   1.197   0.618   1.275  14.364   1.190  14.366   1.213  14.398   1.203  12.147   0.715   750  999  295.29367  +40.14586
011007  99.999  99.999  99.999  99.999  14.411   0.621  99.999  99.999  14.366   0.965  99.999  99.999  9999  999  295.30417  +40.24928
012007  14.372   1.846   0.968   1.937  14.412   1.756  14.379   1.783  14.416   1.762  11.032   1.153   667   60  295.26254  +40.16139
013007  14.547   0.976   0.551   1.079  14.570   0.964  14.536   0.986  14.579   0.955  12.705   0.600   997  999  295.39717  +40.19608
014007  14.560   1.281   0.661   1.261  14.577   1.277  14.587   1.296  14.610   1.277  12.427   0.705   751  999  295.28671  +40.14678
